Year,Geographical Location,Income decile,Income,Income range
1976,Canada,Total deciles,72400,184400
1976,Canada,Lowest decile,9200,NA
1976,Canada,Second decile,21200,NA
1976,Canada,Third decile,32400,NA
1976,Canada,Fourth decile,44600,NA
1976,Canada,Fifth decile,57000,NA
1976,Canada,Sixth decile,69100,NA
1976,Canada,Seventh decile,81800,NA
1976,Canada,Eighth decile,97200,NA
1976,Canada,Ninth decile,118300,NA
1976,Canada,Highest decile,193600,NA
1976,Atlantic provinces,Total deciles,58700,136600
1976,Atlantic provinces,Lowest decile,8700,NA
1976,Atlantic provinces,Second decile,19100,NA
1976,Atlantic provinces,Third decile,28200,NA
1976,Atlantic provinces,Fourth decile,36200,NA
1976,Atlantic provinces,Fifth decile,46400,NA
1976,Atlantic provinces,Sixth decile,57300,NA
1976,Atlantic provinces,Seventh decile,68200,NA
1976,Atlantic provinces,Eighth decile,80100,NA
1976,Atlantic provinces,Ninth decile,97200,NA
1976,Atlantic provinces,Highest decile,145300,NA
1976,Newfoundland and Labrador,Total deciles,60700,139100
1976,Newfoundland and Labrador,Lowest decile,11300,NA
1976,Newfoundland and Labrador,Second decile,21100,NA
1976,Newfoundland and Labrador,Third decile,29300,NA
1976,Newfoundland and Labrador,Fourth decile,36100,NA
1976,Newfoundland and Labrador,Fifth decile,45500,NA
1976,Newfoundland and Labrador,Sixth decile,57400,NA
1976,Newfoundland and Labrador,Seventh decile,71200,NA
1976,Newfoundland and Labrador,Eighth decile,83100,NA
1976,Newfoundland and Labrador,Ninth decile,101700,NA
1976,Newfoundland and Labrador,Highest decile,150400,NA
1976,Prince Edward Island,Total deciles,58300,NA
1976,Nova Scotia,Total deciles,57700,131800
1976,Nova Scotia,Lowest decile,9100,NA
1976,Nova Scotia,Second decile,18700,NA
1976,Nova Scotia,Third decile,27600,NA
1976,Nova Scotia,Fourth decile,36100,NA
1976,Nova Scotia,Fifth decile,46300,NA
1976,Nova Scotia,Sixth decile,55400,NA
1976,Nova Scotia,Seventh decile,67300,NA
1976,Nova Scotia,Eighth decile,79800,NA
1976,Nova Scotia,Ninth decile,95400,NA
1976,Nova Scotia,Highest decile,140900,NA
1976,New Brunswick,Total deciles,58700,136400
1976,New Brunswick,Lowest decile,6800,NA
1976,New Brunswick,Second decile,18500,NA
1976,New Brunswick,Third decile,28700,NA
1976,New Brunswick,Fourth decile,36800,NA
1976,New Brunswick,Fifth decile,48500,NA
1976,New Brunswick,Sixth decile,59700,NA
1976,New Brunswick,Seventh decile,68000,NA
1976,New Brunswick,Eighth decile,78900,NA
1976,New Brunswick,Ninth decile,97400,NA
1976,New Brunswick,Highest decile,143200,NA
1976,Quebec,Total deciles,70200,172300
1976,Quebec,Lowest decile,10100,NA
1976,Quebec,Second decile,21700,NA
1976,Quebec,Third decile,32900,NA
1976,Quebec,Fourth decile,44400,NA
1976,Quebec,Fifth decile,55400,NA
1976,Quebec,Sixth decile,66600,NA
1976,Quebec,Seventh decile,78700,NA
1976,Quebec,Eighth decile,93600,NA
1976,Quebec,Ninth decile,116000,NA
1976,Quebec,Highest decile,182400,NA
1976,Ontario,Total deciles,76700,196400
1976,Ontario,Lowest decile,9700,NA
1976,Ontario,Second decile,22400,NA
1976,Ontario,Third decile,34800,NA
1976,Ontario,Fourth decile,47800,NA
1976,Ontario,Fifth decile,61300,NA
1976,Ontario,Sixth decile,73500,NA
1976,Ontario,Seventh decile,86700,NA
1976,Ontario,Eighth decile,102300,NA
1976,Ontario,Ninth decile,122100,NA
1976,Ontario,Highest decile,206100,NA
1976,Prairie provinces,Total deciles,69600,183000
1976,Prairie provinces,Lowest decile,7000,NA
1976,Prairie provinces,Second decile,19000,NA
1976,Prairie provinces,Third decile,28700,NA
1976,Prairie provinces,Fourth decile,40800,NA
1976,Prairie provinces,Fifth decile,53100,NA
1976,Prairie provinces,Sixth decile,66100,NA
1976,Prairie provinces,Seventh decile,79600,NA
1976,Prairie provinces,Eighth decile,95200,NA
1976,Prairie provinces,Ninth decile,116500,NA
1976,Prairie provinces,Highest decile,190000,NA
1976,Manitoba,Total deciles,62200,163800
1976,Manitoba,Lowest decile,1400,NA
1976,Manitoba,Second decile,18500,NA
1976,Manitoba,Third decile,25400,NA
1976,Manitoba,Fourth decile,35400,NA
1976,Manitoba,Fifth decile,47800,NA
1976,Manitoba,Sixth decile,60900,NA
1976,Manitoba,Seventh decile,73100,NA
1976,Manitoba,Eighth decile,87500,NA
1976,Manitoba,Ninth decile,107200,NA
1976,Manitoba,Highest decile,165200,NA
1976,Saskatchewan,Total deciles,65300,171600
1976,Saskatchewan,Lowest decile,9100,NA
1976,Saskatchewan,Second decile,16600,NA
1976,Saskatchewan,Third decile,26000,NA
1976,Saskatchewan,Fourth decile,36700,NA
1976,Saskatchewan,Fifth decile,48600,NA
1976,Saskatchewan,Sixth decile,61900,NA
1976,Saskatchewan,Seventh decile,74400,NA
1976,Saskatchewan,Eighth decile,89200,NA
1976,Saskatchewan,Ninth decile,110400,NA
1976,Saskatchewan,Highest decile,180700,NA
1976,Alberta,Total deciles,75600,197000
1976,Alberta,Lowest decile,9300,NA
1976,Alberta,Second decile,20900,NA
1976,Alberta,Third decile,33000,NA
1976,Alberta,Fourth decile,45700,NA
1976,Alberta,Fifth decile,58000,NA
1976,Alberta,Sixth decile,71200,NA
1976,Alberta,Seventh decile,86300,NA
1976,Alberta,Eighth decile,102300,NA
1976,Alberta,Ninth decile,123200,NA
1976,Alberta,Highest decile,206300,NA
1976,British Columbia,Total deciles,78100,202800
1976,British Columbia,Lowest decile,9400,NA
1976,British Columbia,Second decile,22900,NA
1976,British Columbia,Third decile,34600,NA
